Open ports found:
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
    Port: LISTENING, Protocol: TCP
Total open ports found: 67
